County,Year,Deaths,Crude Rate,Age Adjusted Rate,Days_PM25_fraction,Unhealthy_fraction,VeryUnhealthy_fraction,Hazardous_fraction,Max_AQI,Median_AQI
"Escambia County, AL",2005.0,31.0,82.4,72.7,0.972972972972973,0.0,0.0,0.0,98,57
"Escambia County, AL",2006.0,25.0,66.4,55.6,1.0,0.0,0.0,0.0,94,57
"Escambia County, AL",2007.0,35.0,92.5,79.5,1.0,0.0,0.0,0.0,137,56
"Etowah County, AL",1999.0,75.0,72.1,58.3,0.0,0.0,0.0,0.0,56,27
"Etowah County, AL",2000.0,98.0,94.7,79.1,0.8217821782178217,0.0,0.0,0.0,141,63
"Etowah County, AL",2001.0,83.0,80.6,66.5,0.8545454545454545,0.0,0.0,0.0,99,58
"Etowah County, AL",2002.0,87.0,84.5,69.2,0.371900826446281,0.0,0.0,0.0,147,54
"Etowah County, AL",2003.0,100.0,97.1,78.8,0.3415492957746479,0.0,0.0,0.0,143,50
"Etowah County, AL",2004.0,79.0,76.6,63.7,0.3732394366197183,0.0,0.0,0.0,112,50
"Etowah County, AL",2005.0,102.0,98.9,80.2,0.3535714285714286,0.0,0.0,0.0,120,50
"Etowah County, AL",2006.0,93.0,89.8,72.1,0.3581560283687943,0.0,0.0,0.0,129,50
"Etowah County, AL",2007.0,86.0,82.8,66.0,0.6501547987616099,0.0,0.0,0.0,145,58
"Houston County, AL",1999.0,55.0,62.3,58.8,0.945945945945946,0.0,0.0,0.0,144,68
"Houston County, AL",2000.0,58.0,65.3,61.2,0.9215686274509804,0.0,0.0,0.0,120,60
"Houston County, AL",2001.0,63.0,70.4,65.6,0.9473684210526316,0.0,0.0,0.0,92,57
"Houston County, AL",2002.0,64.0,71.2,66.1,0.9369369369369368,0.0,0.0,0.0,85,56
"Houston County, AL",2003.0,58.0,63.5,57.7,0.9361702127659576,0.0,0.0,0.0,144,55
"Houston County, AL",2004.0,66.0,71.3,66.6,0.958904109589041,0.0,0.0,0.0,126,57
"Houston County, AL",2005.0,63.0,67.1,61.7,0.3735849056603773,0.0,0.0,0.0,124,47
"Houston County, AL",2006.0,52.0,54.3,48.6,0.375438596491228,0.0,0.0,0.0,126,49
"Houston County, AL",2007.0,66.0,67.5,59.8,0.3659420289855072,0.0036231884057971,0.0,0.0,161,49
"Jackson County, AL",2004.0,40.0,74.7,61.7,0.0,0.0,0.0,0.0,115,40
"Jackson County, AL",2005.0,46.0,86.3,70.8,0.0,0.0,0.0,0.0,39,28
"Jefferson County, AL",1999.0,446.0,67.3,64.2,0.6657534246575343,0.0904109589041095,0.0164383561643835,0.0,273,83
"Jefferson County, AL",2000.0,393.0,59.4,56.3,0.6666666666666666,0.0683060109289617,0.0109289617486338,0.0,208,81
"Jefferson County, AL",2001.0,408.0,61.8,58.7,0.7013698630136986,0.0602739726027397,0.021917808219178,0.0,265,80
"Jefferson County, AL",2002.0,420.0,63.9,60.5,0.7178082191780822,0.0273972602739726,0.0027397260273972,0.0,207,71
"Jefferson County, AL",2003.0,429.0,65.2,61.8,0.7287671232876712,0.0054794520547945,0.0,0.0,177,72
"Jefferson County, AL",2004.0,390.0,59.4,56.0,0.8469945355191257,0.0109289617486338,0.0,0.0,166,71
"Jefferson County, AL",2005.0,431.0,65.8,61.6,0.7315068493150685,0.0246575342465753,0.0,0.0,177,77
"Jefferson County, AL",2006.0,409.0,62.4,58.3,0.6273972602739726,0.0328767123287671,0.0027397260273972,0.0,204,80
"Jefferson County, AL",2007.0,394.0,60.1,56.2,0.6328767123287671,0.0438356164383561,0.0027397260273972,0.0,203,76
"Lawrence County, AL",1999.0,22.0,63.7,64.2,0.2172284644194756,0.0262172284644194,0.0,0.0,182,58
"Lawrence County, AL",2000.0,18.0,,,0.2573529411764705,0.0036764705882352,0.0,0.0,172,54
"Lawrence County, AL",2001.0,26.0,74.6,70.6,0.2846715328467153,0.0,0.0,0.0,119,46
"Lawrence County, AL",2002.0,18.0,,,0.315018315018315,0.0,0.0,0.0,150,44
"Lawrence County, AL",2003.0,21.0,60.9,57.9,0.2967032967032967,0.0036630036630036,0.0,0.0,169,47
"Lawrence County, AL",2004.0,19.0,,,0.3309352517985611,0.0,0.0,0.0,101,45
"Lawrence County, AL",2005.0,31.0,90.0,81.8,0.3250883392226148,0.0,0.0,0.0,126,47
"Lawrence County, AL",2006.0,26.0,76.4,68.5,0.3060498220640569,0.0,0.0,0.0,136,48
"Lawrence County, AL",2007.0,28.0,81.6,70.5,0.2836879432624113,0.0035460992907801,0.0,0.0,156,51
"Limestone County, AL",2003.0,43.0,62.7,63.9,0.0,0.0036363636363636,0.0,0.0,159,44
"Limestone County, AL",2004.0,51.0,73.3,74.2,0.0,0.0,0.0,0.0,84,31
"Madison County, AL",1999.0,142.0,51.7,56.7,0.2115384615384615,0.0412087912087912,0.0,0.0,182,51
"Madison County, AL",2000.0,156.0,56.4,61.3,0.2404371584699453,0.0163934426229508,0.0,0.0,187,51
"Madison County, AL",2001.0,159.0,56.5,61.0,0.2307692307692307,0.0,0.0,0.0,136,45
"Madison County, AL",2002.0,142.0,49.6,52.6,0.2520547945205479,0.0054794520547945,0.0,0.0,166,43
"Madison County, AL",2003.0,171.0,58.7,62.1,0.2465753424657534,0.0,0.0,0.0,143,46
"Madison County, AL",2004.0,171.0,57.8,59.1,0.2602739726027397,0.0,0.0,0.0,150,44
"Madison County, AL",2005.0,144.0,47.8,49.7,0.2637362637362637,0.0,0.0,0.0,133,46
"Madison County, AL",2006.0,161.0,52.1,53.1,0.2458563535911602,0.005524861878453,0.0,0.0,156,47
"Madison County, AL",2007.0,176.0,55.7,56.2,0.239010989010989,0.0054945054945054,0.0,0.0,182,50
"Marengo County, AL",1999.0,14.0,,,0.0,0.0,0.0,0.0,51,26
"Marengo County, AL",2000.0,14.0,,,0.0,0.0,0.0,0.0,49,21
"Marengo County, AL",2001.0,16.0,,,0.0,0.0,0.0,0.0,49,19
"Marengo County, AL",2002.0,16.0,,,0.0,0.0,0.0,0.0,53,17
"Marengo County, AL",2003.0,18.0,,,0.0,0.0,0.0,0.0,36,19
"Marengo County, AL",2004.0,17.0,,,0.0,0.0,0.0,0.0,39,17
"Marengo County, AL",2005.0,16.0,,,0.0,0.0,0.0,0.0,49,19
"Marengo County, AL",2006.0,16.0,,,0.0,0.0,0.0,0.0,31,19
"Mobile County, AL",1999.0,275.0,68.9,72.5,0.3843283582089552,0.0223880597014925,0.0,0.0,179,62
"Mobile County, AL",2000.0,292.0,73.0,76.1,0.2947368421052631,0.031578947368421,0.0,0.0,187,62
"Mobile County, AL",2001.0,256.0,64.0,66.1,0.3414634146341463,0.0034843205574912,0.0,0.0,159,48
"Mobile County, AL",2002.0,261.0,65.5,66.6,0.2822085889570552,0.0,0.0,0.0,150,45
"Mobile County, AL",2003.0,251.0,63.1,63.5,0.2734806629834254,0.005524861878453,0.0,0.0,182,44
"Mobile County, AL",2004.0,267.0,67.1,66.5,0.2506963788300835,0.0083565459610027,0.0027855153203342,0.0,263,44
"Mobile County, AL",2005.0,262.0,65.7,63.8,0.260233918128655,0.0029239766081871,0.0,0.0,154,46
"Mobile County, AL",2006.0,290.0,72.0,69.6,0.2701949860724233,0.0083565459610027,0.0,0.0,164,46
"Mobile County, AL",2007.0,253.0,62.4,60.1,0.2506963788300835,0.0055710306406685,0.0,0.0,164,44
"Montgomery County, AL",1999.0,135.0,60.4,65.4,0.3322475570032573,0.01628664495114,0.0,0.0,200,54
"Montgomery County, AL",2000.0,128.0,57.3,61.6,0.3274021352313167,0.0177935943060498,0.0,0.0,195,58
"Montgomery County, AL",2001.0,140.0,62.8,66.7,0.3614035087719298,0.0,0.0,0.0,150,48
"Montgomery County, AL",2002.0,111.0,49.7,52.6,0.3354430379746835,0.0063291139240506,0.0,0.0,154,47
"Montgomery County, AL",2003.0,128.0,57.5,60.1,0.4014084507042254,0.0,0.0,0.0,119,49
"Montgomery County, AL",2004.0,110.0,49.3,51.4,0.4148936170212766,0.0,0.0,0.0,124,44
"Montgomery County, AL",2005.0,125.0,55.9,57.9,0.3894736842105263,0.0,0.0,0.0,133,49
"Montgomery County, AL",2006.0,128.0,56.3,58.3,0.3776223776223776,0.0034965034965034,0.0,0.0,184,48
"Montgomery County, AL",2007.0,126.0,55.3,57.7,0.7280453257790368,0.0141643059490084,0.0,0.0,160,58
"Morgan County, AL",1999.0,63.0,56.9,56.8,0.9019607843137256,0.0196078431372549,0.0,0.0,157,69
"Morgan County, AL",2000.0,76.0,68.4,67.6,0.2477477477477477,0.0315315315315315,0.0,0.0,187,66
"Morgan County, AL",2001.0,79.0,70.7,70.3,0.2509225092250922,0.003690036900369,0.0,0.0,169,50
"Morgan County, AL",2002.0,73.0,65.3,62.7,0.3616236162361623,0.014760147601476,0.0,0.0,174,52
"Morgan County, AL",2003.0,93.0,82.4,79.1,0.3169014084507042,0.0035211267605633,0.0,0.0,161,53
"Morgan County, AL",2004.0,80.0,70.8,66.6,0.3649122807017544,0.0,0.0,0.0,130,50
"Morgan County, AL",2005.0,76.0,66.7,60.6,0.342756183745583,0.0,0.0,0.0,136,51
"Morgan County, AL",2006.0,83.0,71.9,65.4,0.3098591549295774,0.0,0.0,0.0,136,53
"Morgan County, AL",2007.0,77.0,66.2,59.8,0.3169014084507042,0.0070422535211267,0.0,0.0,172,57
"Pike County, AL",1999.0,14.0,,,0.0,0.0,0.0,0.0,42,19
"Pike County, AL",2001.0,14.0,,,0.0,0.0,0.0,0.0,53,19
"Pike County, AL",2002.0,16.0,,,0.0,0.0,0.0,0.0,52,17
"Pike County, AL",2003.0,21.0,69.9,67.5,0.0,0.0,0.0,0.0,76,19
"Pike County, AL",2004.0,12.0,,,0.0,0.0,0.0,0.0,49,18
"Pike County, AL",2005.0,14.0,,,0.0,0.0,0.0,0.0,51,19
"Pike County, AL",2006.0,10.0,,,0.0,0.0,0.0,0.0,37,21
"Russell County, AL",1999.0,39.0,78.0,75.6,0.9423076923076924,0.0096153846153846,0.0,0.0,154,68
"Russell County, AL",2000.0,46.0,92.5,89.3,0.9067796610169492,0.0,0.0,0.0,144,65
"Russell County, AL",2001.0,32.0,64.5,61.7,0.9545454545454546,0.0,0.0,0.0,125,62
"Russell County, AL",2002.0,42.0,84.9,81.9,0.9333333333333332,0.0,0.0,0.0,117,60
"Russell County, AL",2003.0,37.0,75.4,71.6,0.3678571428571429,0.0,0.0,0.0,115,46
"Russell County, AL",2004.0,28.0,56.6,53.6,0.4,0.0,0.0,0.0,129,49
"Russell County, AL",2005.0,38.0,76.4,72.1,0.3929824561403509,0.0035087719298245,0.0,0.0,156,52
"Russell County, AL",2006.0,35.0,69.4,65.6,0.3892857142857143,0.0,0.0,0.0,143,54
"Russell County, AL",2007.0,32.0,62.7,60.4,0.807909604519774,0.0084745762711864,0.0,0.0,167,61
"Shelby County, AL",1999.0,54.0,38.4,55.1,0.2177121771217712,0.07380073800738,0.011070110701107,0.0,212,63
"Shelby County, AL",2000.0,58.0,40.5,58.7,0.2852112676056338,0.0457746478873239,0.0070422535211267,0.0,214,61
"Shelby County, AL",2001.0,52.0,34.8,45.1,0.3298245614035088,0.0245614035087719,0.0,0.0,197,50
"Shelby County, AL",2002.0,61.0,39.6,50.3,0.3085106382978723,0.0248226950354609,0.0035460992907801,0.0,205,52
"Shelby County, AL",2003.0,73.0,45.7,57.5,0.3049645390070922,0.0035460992907801,0.0,0.0,156,50
"Shelby County, AL",2004.0,84.0,50.7,64.0,0.3535714285714286,0.0071428571428571,0.0,0.0,179,50
"Shelby County, AL",2005.0,81.0,47.2,59.0,0.3345195729537366,0.0106761565836298,0.0,0.0,179,54
"Shelby County, AL",2006.0,75.0,41.9,52.7,0.3169014084507042,0.0211267605633802,0.0,0.0,169,55
"Shelby County, AL",2007.0,83.0,45.2,52.9,0.3204225352112676,0.0211267605633802,0.0,0.0,182,54
"Sumter County, AL",1999.0,14.0,,,0.3513513513513513,0.0,0.0,0.0,143,49
"Sumter County, AL",2001.0,11.0,,,0.3467153284671533,0.0036496350364963,0.0,0.0,164,44
"Sumter County, AL",2002.0,12.0,,,0.3508771929824561,0.0035087719298245,0.0,0.0,179,41
"Sumter County, AL",2005.0,10.0,,,0.3566176470588235,0.0,0.0,0.0,117,44
"Sumter County, AL",2007.0,13.0,,,0.0,0.0,0.0,0.0,140,40
"Talladega County, AL",1999.0,60.0,75.0,70.7,0.9035087719298246,0.0,0.0,0.0,137,64
"Talladega County, AL",2000.0,55.0,68.5,64.6,0.9203539823008848,0.0,0.0,0.0,136,63
"Talladega County, AL",2001.0,54.0,66.7,61.3,0.9304347826086956,0.0,0.0,0.0,97,59
"Talladega County, AL",2002.0,63.0,77.7,72.6,0.9572649572649572,0.0,0.0,0.0,141,58
"Talladega County, AL",2003.0,42.0,51.9,48.1,0.9385964912280702,0.0,0.0,0.0,116,60
"Talladega County, AL",2004.0,56.0,69.0,62.2,0.3710247349823322,0.0,0.0,0.0,147,45
"Talladega County, AL",2005.0,58.0,71.1,62.8,0.398576512455516,0.0,0.0,0.0,110,44
"Talladega County, AL",2006.0,60.0,73.2,64.8,0.259927797833935,0.0,0.0,0.0,150,50
"Talladega County, AL",2007.0,57.0,69.3,60.7,1.0,0.0,0.0,0.0,113,57
"Tuscaloosa County, AL",1999.0,73.0,44.4,50.3,0.9217391304347826,0.0,0.0,0.0,125,65
"Tuscaloosa County, AL",2000.0,99.0,60.0,67.1,0.9813084112149532,0.0,0.0,0.0,126,61
"Tuscaloosa County, AL",2001.0,102.0,61.1,68.9,0.0619834710743801,0.0041322314049586,0.0,0.0,192,42
"Tuscaloosa County, AL",2002.0,94.0,55.9,62.2,0.0476190476190476,0.0079365079365079,0.0,0.0,166,40
"Tuscaloosa County, AL",2003.0,111.0,65.4,72.8,0.3154121863799283,0.0,0.0,0.0,119,44
"Tuscaloosa County, AL",2004.0,90.0,52.3,57.2,0.3854545454545454,0.0,0.0,0.0,115,44
"Tuscaloosa County, AL",2005.0,117.0,66.6,74.4,0.3722627737226277,0.0036496350364963,0.0,0.0,164,50
"Tuscaloosa County, AL",2006.0,95.0,52.4,59.0,0.3646209386281588,0.003610108303249,0.0,0.0,161,51
"Tuscaloosa County, AL",2007.0,99.0,53.7,60.1,0.3357664233576642,0.0072992700729927,0.0,0.0,159,51
"Walker County, AL",1999.0,59.0,83.4,71.7,0.8543689320388349,0.0,0.0,0.0,116,65
"Walker County, AL",2000.0,66.0,93.3,80.0,0.927536231884058,0.0,0.0,0.0,112,61
"Walker County, AL",2002.0,73.0,104.6,86.1,0.1068702290076335,0.0114503816793893,0.0,0.0,166,43
"Walker County, AL",2003.0,66.0,95.5,79.8,1.0,0.0,0.0,0.0,106,58
"Walker County, AL",2004.0,72.0,104.9,85.9,1.0,0.0,0.0,0.0,94,56
"Walker County, AL",2005.0,69.0,100.7,80.7,1.0,0.0,0.0,0.0,113,58
"Walker County, AL",2006.0,59.0,86.5,69.6,1.0,0.0,0.0,0.0,112,58
"Walker County, AL",2007.0,47.0,69.4,53.1,1.0,0.0,0.0,0.0,115,59
"Apache County, AZ",2003.0,11.0,,,0.1306818181818181,0.0,0.0,0.0,65,19
"Apache County, AZ",2004.0,19.0,,,0.1447368421052631,0.0,0.0,0.0,49,21
"Apache County, AZ",2006.0,18.0,,,0.0825958702064896,0.0,0.0,0.0,103,21
"Apache County, AZ",2007.0,12.0,,,0.0575342465753424,0.0,0.0,0.0,80,26
"Cochise County, AZ",1999.0,57.0,48.9,41.8,0.056338028169014,0.0,0.0,0.0,129,47
"Cochise County, AZ",2000.0,74.0,62.8,54.1,0.0649717514124293,0.0,0.0,0.0,132,46
"Cochise County, AZ",2001.0,74.0,62.3,52.0,0.0379008746355685,0.0,0.0,0.0,93,44
"Cochise County, AZ",2002.0,65.0,54.2,45.9,0.044776119402985,0.0,0.0,0.0,129,47
"Cochise County, AZ",2003.0,65.0,53.9,44.0,0.037037037037037,0.0,0.0,0.0,126,49
"Cochise County, AZ",2004.0,88.0,71.4,59.6,0.0773480662983425,0.0,0.0,0.0,108,46
"Cochise County, AZ",2005.0,70.0,55.7,45.4,0.1183098591549295,0.0,0.0,0.0,108,47
"Cochise County, AZ",2006.0,74.0,58.2,45.8,0.1333333333333333,0.0,0.0,0.0,119,47
"Cochise County, AZ",2007.0,67.0,52.3,41.0,0.1176470588235294,0.0,0.0,0.0,108,46
"Coconino County, AZ",1999.0,15.0,,,0.0498614958448753,0.0,0.0,0.0,136,49
"Coconino County, AZ",2000.0,25.0,21.5,35.0,0.0741758241758241,0.0,0.0,0.0,126,47
"Coconino County, AZ",2001.0,21.0,17.8,29.5,0.0696378830083565,0.0,0.0,0.0,105,47
"Coconino County, AZ",2002.0,25.0,20.6,30.1,0.0334261838440111,0.0,0.0,0.0,136,49
"Coconino County, AZ",2003.0,33.0,26.9,45.2,0.0445682451253481,0.0,0.0,0.0,126,49
"Coconino County, AZ",2004.0,25.0,20.0,30.0,0.0662983425414364,0.0,0.0,0.0,122,47
"Coconino County, AZ",2005.0,25.0,19.7,28.9,0.0391061452513966,0.0027932960893854,0.0,0.0,159,47
"Coconino County, AZ",2006.0,29.0,22.5,31.7,0.0415512465373961,0.0,0.0,0.0,122,48
"Coconino County, AZ",2007.0,15.0,,,0.0812324929971988,0.0,0.0,0.0,131,49
"Gila County, AZ",1999.0,41.0,80.4,56.3,0.2437275985663082,0.0,0.0,0.0,147,52
"Gila County, AZ",2000.0,45.0,87.7,60.6,0.8807947019867549,0.0,0.0,0.0,86,42
"Gila County, AZ",2001.0,40.0,78.0,51.9,0.9173553719008264,0.0,0.0,0.0,95,37
"Gila County, AZ",2002.0,31.0,60.2,41.4,0.3274336283185841,0.0221238938053097,0.0,0.0,164,61
"Gila County, AZ",2003.0,36.0,70.1,43.9,0.21484375,0.01171875,0.0,0.0,169,68
"Gila County, AZ",2004.0,48.0,93.3,58.2,0.230188679245283,0.0,0.0,0.0,133,51
"Gila County, AZ",2005.0,41.0,79.4,48.6,0.1654411764705882,0.0073529411764705,0.0,0.0,182,58
"Gila County, AZ",2006.0,46.0,87.6,53.9,0.0821529745042493,0.0028328611898017,0.0,0.0,159,51
"Gila County, AZ",2007.0,34.0,63.8,38.8,0.0922619047619047,0.0,0.0,0.0,126,56
"Graham County, AZ",2000.0,10.0,,,0.0,0.0,0.0,0.0,70,24
"Graham County, AZ",2001.0,17.0,,,0.0,0.0,0.0,0.0,57,19
"Graham County, AZ",2002.0,12.0,,,0.0,0.0,0.0,0.0,66,21
"Graham County, AZ",2005.0,10.0,,,0.0,0.0,0.0,0.0,46,20
"Graham County, AZ",2006.0,11.0,,,0.0,0.0,0.0,0.0,46,19
"Graham County, AZ",2007.0,19.0,,,0.0,0.0,0.0,0.0,54,19
"La Paz County, AZ",2005.0,12.0,,,0.0,0.0,0.0,0.0,119,50
"La Paz County, AZ",2006.0,11.0,,,0.0,0.0,0.0,0.0,119,54
"Maricopa County, AZ",1999.0,1422.0,47.3,51.2,0.0273972602739726,0.0602739726027397,0.0,0.0,185,101
"Maricopa County, AZ",2000.0,1427.0,46.4,50.5,0.1311475409836065,0.0519125683060109,0.0,0.0,174,97
"Maricopa County, AZ",2001.0,1329.0,41.8,45.6,0.1917808219178082,0.0356164383561643,0.0,0.0,185,80
"Maricopa County, AZ",2002.0,1440.0,44.2,48.2,0.1041095890410958,0.0356164383561643,0.0027397260273972,0.0,202,80
"Maricopa County, AZ",2003.0,1462.0,43.9,47.5,0.084931506849315,0.0273972602739726,0.0,0.0,195,74
"Maricopa County, AZ",2004.0,1388.0,40.6,43.8,0.1010928961748633,0.0054644808743169,0.0,0.0027322404371584,375,68
"Maricopa County, AZ",2005.0,1372.0,38.8,41.7,0.0684931506849315,0.0301369863013698,0.0,0.0,177,79
"Maricopa County, AZ",2006.0,1441.0,39.6,42.5,0.0602739726027397,0.0410958904109589,0.0,0.0,179,84
"Maricopa County, AZ",2007.0,1382.0,37.2,39.9,0.0712328767123287,0.0027397260273972,0.0,0.0027397260273972,408,77
"Mohave County, AZ",1999.0,169.0,112.4,72.9,0.0,0.0,0.0,0.0,93,28
"Mohave County, AZ",2000.0,163.0,105.1,66.8,0.0483870967741935,0.0,0.0,0.0,65,31
"Mohave County, AZ",2001.0,177.0,110.4,71.3,0.2054794520547945,0.0,0.0,0.0,73,25
"Mohave County, AZ",2002.0,200.0,120.4,78.1,0.5833333333333334,0.0,0.0,0.0,99,27
"Mohave County, AZ",2003.0,194.0,112.4,71.4,0.8349514563106796,0.0,0.0,0.0,84,24
"Mohave County, AZ",2004.0,225.0,124.6,80.8,0.8360655737704918,0.0,0.0,0.0,86,24
"Mohave County, AZ",2005.0,232.0,122.9,79.8,0.8416666666666667,0.0,0.0,0.0,72,24
"Mohave County, AZ",2006.0,224.0,114.2,71.9,0.8934426229508197,0.0,0.0,0.0,76,28
"Mohave County, AZ",2007.0,197.0,98.6,64.1,0.8666666666666667,0.0,0.0,0.0,121,29
"Navajo County, AZ",1999.0,27.0,28.1,35.3,0.7238805970149254,0.0,0.0,0.0,62,19
"Navajo County, AZ",2000.0,28.0,28.7,34.2,0.7083333333333334,0.0,0.0,0.0,49,15
"Navajo County, AZ",2001.0,27.0,27.6,31.8,0.8691588785046729,0.0,0.0,0.0,52,16
"Navajo County, AZ",2002.0,22.0,22.0,26.4,0.4619883040935672,0.0,0.0,0.0,64,33
"Navajo County, AZ",2003.0,26.0,25.6,28.1,0.0141242937853107,0.0,0.0,0.0,122,48
"Navajo County, AZ",2004.0,35.0,34.1,40.9,0.0298507462686567,0.0,0.0,0.0,147,46
"Navajo County, AZ",2005.0,20.0,19.2,22.1,0.0451807228915662,0.0,0.0,0.0,140,44
"Navajo County, AZ",2006.0,31.0,29.3,33.4,0.048780487804878,0.0,0.0,0.0,150,45
"Navajo County, AZ",2007.0,37.0,34.6,35.2,0.0546623794212218,0.0,0.0,0.0,112,46
"Pima County, AZ",1999.0,447.0,53.9,49.6,0.2082191780821917,0.0027397260273972,0.0,0.0,151,58
"Pima County, AZ",2000.0,405.0,48.0,43.9,0.0573770491803278,0.0,0.0,0.0,136,52
"Pima County, AZ",2001.0,440.0,51.2,46.5,0.1287671232876712,0.0,0.0,0.0,115,49
